@relation training_data

@attribute text string
@attribute emotion {positive,neutral,negative}

@data
' This was the best summer I have ever experienced ',positive
' Good night friends! ',neutral
' The tingling of my fingers ',neutral
' Almost past the tv ',neutral
' I hate fucking pills ',negative
' I just came back yesterday from California ',neutral
' I had a blast in california hanging out with my family and friends ',positive
' Thank you to everyone who made me feel at home ',positive
' :) I love ya : ',positive
' My best friend, her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday 'positive
' Thank you so much for everyone who came ',positive
' :) Hailey recieved many gift cards (because I couldn\'t bring that much on the plane back home) and cute baby clothes and toys! ',positive
' Thank you everyone ',positive
' We had a wonderful yummy cake, fruit and veggie treats ',positive
' My friend Misty brought her cute new baby girl, Jamie! ',positive
' She is so adorable! ',positive
' We played fun baby games and caught up on some old times ',positive
' I had a blast thank you friend!!! ',positive
' Here are some pics!! ',neutral
' Thank you guys ',positive
' I miss you so much and can\'t wait to see Ginny, Sister friend and my mom in a couple months!! ',negative
' Love yo ',positive
' So many lies about who you re talking to, where you re going, what you re doing ',negative
' The people that just have to send a "hug" and it puts a smile on your face ',positive
' Yet you know things about them that not even their parents know, and it doesn\'t matter ',neutral
' They don\'t care how pretty you are or what clothes you wear ',neutral
' They are amazing 'positive
' and I love them ',positive
' My life is falling apart and I don\'t mean online ',negative
' i\'m becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn, I just feel like i\'m compltely useless ',negative
' I started callin myself Aki-sama XD It\'s fun ',positive
' I want to get to know him and know more about him ',neutral
' The Charlotte Observer featured this article about deep-fried Coke a few days ago, which is appaling enough by itself ',negative
' (Speaking of deep-fried shit, did you know there was a town in Texas where they take a Snickers bar, wrap it in bacon, and then deep-fry it? ',negative
' How awesome is this country ',positive
' Had a lovely birthday yesterday with Alex and Christine ',positive
' Been seeing so many good friends and refilling my cell-phone contacts ',positive
' Visiting Bard was like a warm blanket ',positive
' Earlham is also making me feel more happy than I feel at home ',positive
' Oh and also, i\'m listening to an audio book of "The Time-Traveler\'s Wife" and loving it ',positive
' Octoberfest was awesome ',positive
' Hellhammer did a lot of family time this event ',neutral
' well, sort of ',neutral
' The speed was pretty fast, but I was too fast for him, and had it blocked easy ',neutral
' All I know was stuff is moving, do this ',neutral
' I made 23% of what I sold last night ',neutral
' I also got a ton of compliments including from a couple of strippers that weren\'t even mine ',positive
' This is how most friday and Saturday nights go ',neutral
' What a ridiculously awesome time I had yesterday ',positive
' It must have been all your good lucks and have funs that did it ',positive
' And Mr. Dude has agreed to let me take some photos of him ',neutral
' Really starting to lose it ',negative
' Last night I watched Ricou Browning\'s bleak exploit actioner Mr. No Legs on my laptop while watching G.H. Clouzot\'s terse, relentless The Wages of Fear on the plasma ',neutral
' To pencil in those few vacant nanosecs I read Dennis Perrin\'s Mr. Mike: The Life and Work of Michael O Donoghue ',neutral
' My head is a WMD, and my hard drive is naught but night soil ',neutral
' Sadness Dept: Just heard on NPR that Gillo Pontecorvo died ',negative
' Click here for the New York Times  obit ',neutral
' (I screened it at VSU in  04 for my faculty advisors and they seemed fairly stunned by it 'positive
' Strange. 'positive
' Burn ',neutral
' Ogro is a Franco-era policier and all the more grim for its muted tone and washed-out palette ',negative
' Get  em and watch alongside Click, or New York Minute ',neutral
' Here is a recent interview of Abhishek Bachchan and the man talks about his latest career developments, his dad and of course the remake Sholay: Some excerpts from the MSN site ',neutral
' "The most wonderful gift that dad got this birthday was the love ofamitabh-abhishek09.jpg his fans that he gets every year ',positive
' But the Legion Of Honour comes a close second. ',neutral
' "What a fabulous gift for dad on his birthday ',positive
' Its fantastic ',positive
' Well, great ',positive
' It just shows that Indian cinema is making inroads into the West ',neutral
' And they are doing precisely that.&quot ',neutral
' We as a family are truly honoured ',positive
' Its a matter of pride for every Indian when a recognition like this comes to dad from a cinema-savvy country like France. ',positive
' "I think its a wonderful idea to remake Sholay ',positive
' Every filmmaker has the creative right to carry his vision into whatever area he chooses ',neutral
' "Therell always be naysayers ',neutral
