@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'was best have ever experienced','',positive
good,'',neutral
'tingling of','',neutral
'almost past','',neutral
'hate fucking','',negative
'just came back from','',neutral
'had in hanging out with and','',positive
'thank who made feel at','',positive
'😃 love :',😃,positive
'best , and planned for and on','',positive
'thank so much for who came','',positive
'😃 recieved many because could not bring much on back and cute and',😃,positive
thank,'',positive
'had wonderful yummy , and treats','',positive
'brought cute new ,','',positive
'is so adorable','',positive
'played fun and caught up on old','',positive
'had thank','',positive
'here are','',neutral
thank,'',positive
'miss so much and can not wait see , and in','',negative
'love yo','',positive
'so many about who re talking , where re going , what doing','',negative
'just have send \" \" and puts on','',positive
'yet know about not even know , and does not','',neutral
'do not care how pretty are or what wear','',neutral
'are amazing','',positive
'and love','',positive
'is falling apart and do not mean','',negative
'becoming broken and now that have had counted of drawn , just feel like compltely useless','',negative
'started callin xd fun','',positive
'want get know and know more about','',neutral
'featured about deep-fried few ago , which is appaling enough by','',negative
'speaking of deep-fried , did know there was in where take , wrap in , and then deep-fry','',negative
'how awesome is','',positive
'had lovely with and','',positive
'been seeing so many good and refilling','',positive
'visiting was like warm','',positive
'is also making feel more happy than feel at','',positive
'oh and also , listening of \" \" and loving','',positive
'was awesome','',positive
'did of','',neutral
'well , of','',neutral
'was pretty fast , but was too fast for , and had blocked easy','',neutral
'know was is moving , do','',neutral
'made of what sold last','',neutral
'also got of including from of that were not even','',positive
'is how most and go','',neutral
'what ridiculously awesome had','',positive
'must have been good and have did','',positive
'and has agreed let take of','',neutral
'really starting lose','',negative
'last watched bleak on while watching clouzot\'s terse , relentless of on','',neutral
'in few vacant read : and of','',neutral
'is , and hard is naught but','',neutral
': just heard on died','',negative
'here for','',neutral
'screened at in for and seemed fairly stunned by','',positive
strange,'',positive
burn,'',neutral
'is and more grim for muted and washed-out','',negative
'get and watch alongside , or new','',neutral
'here is recent of and talks about latest , and of : from','',neutral
'\" most wonderful got was jpg that gets','',positive
'but comes close second','',neutral
'\" what fabulous for on','',positive
fantastic,'',positive
'well , great','',positive
'just that is making into','',neutral
'and are doing precisely & quot','',neutral
'as are truly honoured','',positive
'of for when like comes from like','',positive
'\" think wonderful remake','',positive
'has creative right carry into chooses','',neutral
'\" always be','',neutral
'can say is , knowing from close pretty sure even will be very proud of makes','',positive
'is coming together awesome','',positive
'will also be very technical as out in with and','',neutral
'stand by what said in do not know if going be filming ever again','',neutral
'but of came across as really angry , drunken','',negative
'do not know when or if will end up seeing again but please know that can understand if do not want see again','',neutral
'if wants give be more than happy answer','',positive
hey,'',neutral
lol,'',positive
'came with and danced away most of went which was awsome','',positive
'there was only few of single there but was cool','',positive
'which is of slow got dance with of who graduated last awsome danced alot together luvs','',positive
'was really cold tho','',neutral
'was awsome was really cool','',positive
'too much and not enough rock for but was good was just happy getting out on and getting on lol','',positive
'also got see once knew was was pretty cool','',positive
'haha did and were so close together','',positive
'need bigger lmao','',neutral
'just loved last','',positive
ha,'',positive
'then , , , and could not find someplace good eat was open in so went in giant and bought haha','',positive
'were in still','',neutral
'was ammusing hehehe but yea overall have not had much fun in very long','',positive
'done telling about wonderful lol','',positive
'be puting up soon','',neutral
'was born , , at','',neutral
'can not believe is finally here','',positive
'after on , cleaned , played and with , then went sit and talk with while moved in','',neutral
'except not look like seems think has of in','',neutral
'😃 is really exciting be big , thinks is sooooo cool',😃,positive
'will be putting more up probably sometime so keep out for amazing','',neutral
'go high','',neutral
'want go when graduate and take up in or','',neutral
'on is do what was born do love there love teach who want be taught','',positive
'there is amazing like second','',positive
'about if want know else about just let know','',neutral
'luckily won','',positive
'then , in','',neutral
'was pertty goood','',positive
'annnd beat','',neutral
'was pretty good','',positive
'and about guess','',neutral
'always happy with','',positive
'had good with at','',positive
'was sooo cute','',neutral
heh,'',positive
anyway,'',neutral
'do not know why','',neutral
'however do miss','',negative
'- and hostin','',neutral
'even maybe means will not see again','',neutral
'so went spend at','',neutral
'woke up once during and was like , \" oh crap , no , go back \" and managed get back somehow','',negative
o_,'',neutral
'so in there were where were kinda unsure , but was still happy for of hope','',positive
'odd though , as do not usually care for dressy','',positive
'but hey','',neutral
'totally did not want wake up , can say','',neutral
'so yeah , just had share','',neutral
;,'',neutral
', and else while was doing','',neutral
wtf,'',negative
'finally reading amazing of &','',positive
'got for','',neutral
'not very far along but quite enjoying','',positive
'in at hot and should be awesome but did not sleep little last','',positive
'seriously took fall asleep for like then in between of little','',neutral
'do not want go on or at','',neutral
'think and of attending is worth seeing again','',negative
'could have danced with','',neutral
'miss so much','',negative
've never missed so much as','',negative
'sitting here in and crying and very embarassing but can not help because just want and run away and want hold for whole and rock sleep','',negative
'just have imagine or up for now','',neutral
'want go','',neutral
miss,'',negative
'well finishing up first at , really awesome','',positive
'schedule for is like prep not exactly sure what is but work whole there','',neutral
'get after too and can eat is awesome','',positive
'got on','',neutral
'messed up in which sucks','',negative
'oh well too too bad but making nervous','',negative
'truly horrifying of at of','',negative
'well , not so much , but really rather amusing','',positive
'just stood there in','',positive
'various on are stacked about , waiting be used for','',neutral
've left of on , having just finished and','',neutral
', , \" love \"','',neutral
'','',neutral
'slight parallel find amusing : played in last , just as am playing in','',positive
'n is really fun , liking','',positive
of,'',neutral
'and by','',neutral
awesome,'',positive
'had bought with on','',neutral
'spent of on last in early am','',neutral
'spoke with , and feel is real','',neutral
heh,'',neutral
'in of , say that are wrong , is , and are','',neutral
'','',neutral
'actually , think dropped in bottomless last','',neutral
'so and went go','',neutral
'broke like whoa , but still working','',neutral
've been talking on almost daily , and re very excited see little growing inside of','',positive
'would be so awesome','',positive
in,'',positive
'have not even seen in and have in too much wrap around little','',positive
'missing in with , and sad that had leave early','',negative
miss,'',negative
'other than of still trying move upstairs , and looks like will be','',neutral
'hope is well in','',neutral
'can honestly say of live in changed while in','',neutral
'remember being so impressed , with of other in , and had withen own , regardless of of','',neutral
'which was such when compared small belonged','',neutral
'began help serve at local & , for at , for other','',neutral
'remember doing endless for almost did','',neutral
'see , whole that was trying develop own , attending with other , and did with own','',neutral
'and sadly','',negative
'has been given in','',neutral
'simply by just listening speak , and more often just being in has been known have is looking for just on','',neutral
'was too much for carry , own plus elses','',negative
'and then happened','',neutral
'','',neutral
'is first in','',neutral
'now and then','',neutral
'get of real loud and makes jump','',positive
'is afraid','',negative
'hope that can learn play well and really do hope is enjoying','',positive
'is may cause of','',negative
'as long as is happy','',positive
'perhaps nice hot and of would help','',neutral
'decided go work','',neutral
but,'',neutral
'was of fun','',positive
'was friggen','',positive
', , and trying catch damn','',positive
'did not catch by by imagine : taking off of with while \" just wanna have fun \" in','',positive
'went shooting in regular out in behind','',neutral
'look at','',neutral
'add and and through and real','',positive
'is leaving for again and , well , know how goes','',neutral
'as put , not like where of will die , so really put into for know will be safe and come in , but scary thought still kinda lingers in of','',negative
'hates , , talks behind backs , and treats like','',negative
'truly wants murder , and then gets pissed off when do not agree with','',negative
ugh,'',negative
'ya , say up','',negative
'😃 was perfect crappy',😃,negative
'well know','',neutral
'basically , just want focus on staying busy and staying happy','',positive
'so , if would like contribute \" make smile \" \" , let\'s','',positive
'after went and got ready go','',neutral
'rode on w/ and','',neutral
'was sooo fun','',positive
lol,'',positive
'hehehehhe 😉 neeeways',😉,positive
'after went and walked around','',neutral
'😃 at',😃,neutral
'were totally awesome','',positive
lol,'',positive
'won by several of','',positive
yay,'',positive
lol,'',positive
'after went where had best of','',positive
'was so awesome','',positive
'cant even explain in how much fun had','',positive
'😉 hehehehe',😉,positive
'can honestly say was best ever','',positive
'soooo sad b/c was last','',negative
'at least had','',positive
lol,'',positive
'but yea','',neutral
'dont know what else say except that love spending w/','',positive
'😃 * sighs * lol',😃,positive
'and hanging out w/ and was totally awesome 2','',positive
love,'',positive
'broadcasting from','',neutral
'exciting ,','',positive
'so ,','',neutral
'where did leave off','',neutral
'will start with little about how small really is so was going work , headed of around pick up for , and then bring back where starts','',neutral
'as was preparing leave , over at yelled out for wait , approached and said hello','',neutral
'so just took with and came on','',neutral
'had great catching up , and went out together as well','',positive
'but certainly strange how randomly run in have not seen in , in little in','',positive
fun,'',positive
'and was by far best play have ever seen','',positive
'was also incredibly simple , cutting normally huge down only','',positive
'like remind why ve chosen as','',neutral
'was lucky enough be able stay with cut down on , and see different of','',positive
'was sooooo much fun','',positive
'saw most of major on own , and went almost was there','',neutral
was,'',negative
horrible,'',negative
'horribly acted , horribly directed , weak','',negative
'and long','',negative
of,'',negative
'wanted leave at , but was really enjoying should have been so stayed','',positive
'guess good took from was that know now that are just as capable as are of producing really awful','',negative
'while in also saw at','',neutral
'now was amazing','',positive
'were incredible , and of was played by , from fresh of','',positive
'in was hilarious , and made love even more','',positive
'also saw for first , and was fun','',positive
loved,'',positive
'loved free','',positive
especially,'',neutral
'soooo many , including in of that had conspicuous communist','',neutral
'now maybe was just reading too much into , or maybe had spent too much in eastern talking about','',neutral
'and funniest , said were donated by','',positive
curious,'',positive
'next in , watch out for','',neutral
'now have make : before began had actually never seen entire from finish','',neutral
'of would change from , for there was where had over in , leading up dramatic at of','',positive
'then there were , everywhere , singing-clapping-dancing-taking , and of pale and pasty with cock-eyed and drinking','',positive
'of fun','',positive
'did not have of , but of would always go or of that was playing watch','',neutral
'so french for , when played , drank with passionate , was colorful and hilarious take without fighting','',positive
'interesting was latent that emerged during','',positive
'now explaining : before began , if waved german in , would probably be called nazi and at very least labeled as radical right','',neutral
'and for what worth agree with , makes nervous too','',negative
so,'',neutral
'were genuinely excited about supporting national , and taking in','',positive
'now newfound certainly was not shared by','',positive
'and of no can laboriously dissect better than','',neutral
'in had also been at lead of , which started at of','',neutral
'given dark of such can well imagine of , and trying put into of historical','',neutral
'after of beautiful and great , traveled with good australian in','',positive
'was good of from , , was playing in at there','',neutral
'now was ridiculous of fun','',positive
'is sweaty , dirty , polluted','',negative
'take of , and add : everywhere , in , cooled by wall-mounted , a.k.a.','',neutral
'now imagine from of pitter pattering on as stroll down','',negative
'now add of poorly placed ancient','',neutral
'and really is lovely , in own','',positive
'but back back was more than enough','',neutral
'now was really amazing','',positive
'took about get out there , and then climbed around and played on for about , taking of magnificent old that is literally clinging','',neutral
'and then watched in with other as went down in of , over','',positive
'is so amazing in , feels like could really reach up and touch , so close','',positive
'just fyi','',neutral
'not bad','',neutral
'was amazing','',positive
'saw of , and were treated incredibly well by at','',positive
'stayed in tiny called , and brought incredible new','',positive
'did could make feel welcome , from putting up in beautiful , refusing let pay for , and making sure that on was as enchanting as always make out be','',positive
'will go somewhere special','',neutral
'next , last of , piled into , and took off that will henceforth be labeling','',neutral
'imagine most incredible , shaped , with unimaginably blue , and giant underneath , of long and wide , adding','',positive
'had brought along of fresh and broke fast on overlooking whole gorgeous','',neutral
'was really interesting staying with in little , and getting experience of what was about','',positive
'oh and is incredible','',positive
'but not feta','',neutral
'has do with','',neutral
'really of that in of and technical , are still fascinated by thousand year-old of','',positive
'after returning from last few in passed very quickly','',neutral
'flew by and before knew , was at and was graced by best , who had come for last','',neutral
'so spent next in of working final , partying , and showing that had come love so much over last','',positive
'say or is expensive ;','',neutral
'but did not let discourage','',neutral
'had in','',positive
'went on , went located in old , very cool , and had good relaxing and enjoying amazing','',positive
'is incredibly beautiful , tucked into and right on','',positive
'think most important can say about , is of : dirty , are rude , is insurmountable , is incomprehensible , will be stolen , that hate','',negative
'called of and for','',neutral
'is breathtaking , and seeing in destroys cliche and makes fall in with','',positive
'are absolutely lovely','',positive
'encountered so many genuinely wonderful , helpful , content','',positive
'from trying order in is tres terrible asking or talking , were always pleasantly surprised at how open and welcoming were','',positive
'and seem really enjoy','',positive
'know how beautiful is , and appreciate','',positive
'and , is gorgeous','',positive
'and are out in','',neutral
'there was fabulous of there','',positive
'favorite about were','',positive
'there were over , and of and','',neutral
'thought : \" strange , what\'s about','',positive
'found out when headed over of that were situated in , and plopped down','',neutral
'looked around and noticed there were of over , in , taking','',neutral
'so did same','',neutral
'what other would use provide napping in','',neutral
'','',positive
'really had in','',positive
'went , went , and on fabulous','',positive
'most interesting learned on was when stormed , there were only left in','',positive
', old , from','',neutral
'is highest in , and from northerly , have entire out at','',neutral
'pretty breathtaking','',positive
'on there was always of impromptu with and and other with of and merry','',positive
'on are of favorite from','',positive
'what incredible incredible','',positive
'thus , is at','',neutral
've returned ready for fresh , collecting new on of','',neutral
'was also lucky enough be hired direct for high , which went up last','',positive
'was titled , and went extremely well','',positive
'was nice for get stretch and earn little at same','',positive
'and though european is over for starts','',neutral
'excited about , and and that await there','',positive
'there was pack in','',neutral
'hope of are well ; that have made through , and are excited about upcoming rapidly approaching','',positive
'wish fabulous , and warm and safe','',positive
'best till meet again','',neutral
'first of','',neutral
'seem fine','',neutral
'but just sucks , and ve accepted','',negative
'of seem quite amazing , and know for be amazing','',positive
'so , all-in-all , pretty good , right','',positive
'honestly , while was dating , barely saw in','',neutral
'unless and break up , is which is unlikely , so should not even hope on','',neutral
'also found out , will , in , be','',negative
'is going be hardest will ever do academically , anyway','',neutral
'nothing strong such as cannot handle with little of and mental talks','',neutral
