@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'this was the best summer i have ever experienced','',positive
'good night friends !','',neutral
'the tingling of my fingers','',neutral
'almost past the tv','',neutral
'i hate fucking pills','',negative
'i just came back yesterday from california','',neutral
'i had a blast in california hanging out with my family and friends','',positive
'thank you to everyone who made me feel at home','',positive
'😃 i love ya :',😃,positive
'my best friend , her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday','',positive
'thank you so much for everyone who came','',positive
'😃 hailey recieved many gift cards ( because i could not bring that much on the plane back home ) and cute baby clothes and toys !',😃,positive
'thank you everyone','',positive
'we had a wonderful yummy cake , fruit and veggie treats','',positive
'my friend misty brought her cute new baby girl , jamie !','',positive
'she is so adorable !','',positive
'we played fun baby games and caught up on some old times','',positive
'i had a blast thank you friend ! ! !','',positive
'here are some pics ! !','',neutral
'thank you guys','',positive
'i miss you so much and can not wait to see ginny , sister friend and my mom in a couple months ! !','',negative
'love yo','',positive
'so many lies about who you re talking to , where you re going , what you re doing','',negative
'the people that just have to send a \" hug \" and it puts a smile on your face','',positive
'yet you know things about them that not even their parents know , and it does not matter','',neutral
'they do not care how pretty you are or what clothes you wear','',neutral
'they are amazing','',positive
'and i love them','',positive
'my life is falling apart and i do not mean online','',negative
'i\'m becoming a broken toy and now that i have had twelve ( i counted ) vials of blood drawn , i just feel like i\'m compltely useless','',negative
'i started callin myself aki-sama xd it\'s fun','',positive
'i want to get to know him and know more about him','',neutral
'the charlotte observer featured this article about deep-fried coke a few days ago , which is appaling enough by itself','',negative
'( speaking of deep-fried shit , did you know there was a town in texas where they take a snickers bar , wrap it in bacon , and then deep-fry it ?','',negative
'how awesome is this country','',positive
'had a lovely birthday yesterday with alex and christine','',positive
'been seeing so many good friends and refilling my cell-phone contacts','',positive
'visiting bard was like a warm blanket','',positive
'earlham is also making me feel more happy than i feel at home','',positive
'oh and also , i\'m listening to an audio book of \" the time-traveler\'s wife \" and loving it','',positive
'octoberfest was awesome','',positive
'hellhammer did a lot of family time this event','',neutral
'well , sort of','',neutral
'the speed was pretty fast , but i was too fast for him , and had it blocked easy','',neutral
'all i know was stuff is moving , do this','',neutral
'i made 23\% of what i sold last night','',neutral
'i also got a ton of compliments including from a couple of strippers that were not even mine','',positive
'this is how most friday and saturday nights go','',neutral
'what a ridiculously awesome time i had yesterday','',positive
'it must have been all your good lucks and have funs that did it','',positive
'and mr. dude has agreed to let me take some photos of him','',neutral
'really starting to lose it','',negative
'last night i watched ricou browning\'s bleak exploit actioner mr. no legs on my laptop while watching g.h. clouzot\'s terse , relentless the wages of fear on the plasma','',neutral
'to pencil in those few vacant nanosecs i read dennis perrin\'s mr. mike : the life and work of michael o donoghue','',neutral
'my head is a wmd , and my hard drive is naught but night soil','',neutral
'sadness dept : just heard on npr that gillo pontecorvo died','',negative
'click here for the new york times obit','',neutral
'( i screened it at vsu in 04 for my faculty advisors and they seemed fairly stunned by it','',positive
'strange .','',positive
burn,'',neutral
'ogro is a franco-era policier and all the more grim for its muted tone and washed-out palette','',negative
'get em and watch alongside click , or new york minute','',neutral
'here is a recent interview of abhishek bachchan and the man talks about his latest career developments , his dad and of course the remake sholay : some excerpts from the msn site','',neutral
'\" the most wonderful gift that dad got this birthday was the love ofamitabh-abhishek09 . jpg his fans that he gets every year','',positive
'but the legion of honour comes a close second .','',neutral
'\" what a fabulous gift for dad on his birthday','',positive
'its fantastic','',positive
'well , great','',positive
'it just shows that indian cinema is making inroads into the west','',neutral
'and they are doing precisely that . & quot','',neutral
'we as a family are truly honoured','',positive
'its a matter of pride for every indian when a recognition like this comes to dad from a cinema-savvy country like france .','',positive
'\" i think its a wonderful idea to remake sholay','',positive
'every filmmaker has the creative right to carry his vision into whatever area he chooses','',neutral
'\" therell always be naysayers','',neutral
'all i can say is , knowing ramus abilities from close quarters im pretty sure even ramesh uncle will be very proud of the film ramu makes .','',positive
'the show is coming together awesome','',positive
'it will also be very technical as we work out kinks in the show with props and lighting','',neutral
