@relation training_data

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute emotion {positive,neutral,negative}

@data
0.020087,0,0.020087,-1,0,-1,0,-1,0,0,0,5,positive
0.416667,0,0.416667,-1,1,0,1,0,0,1,0,4,positive
0,0,-1,-1,0,0,0,0,0,0,0,6,positive
0.214983,0,0.071661,-1,0,0,0,0,0,0,0,16,positive
0,0,-1,-1,0,-3,0,-1,0,0,0,13,positive
0.184229,0,0.092114,-1,1,0,1,0,0,0,0,9,positive
0.013686,-0.1,0.013686,-0.1,0,0,0,0,0,0,0,9,positive
0.304745,0,0.152372,-1,0,0,0,0,0,0,0,12,positive
0,-0.052727,-1,-0.026364,0,0,0,0,0,0,0,4,positive
0,0,-1,-1,0,-2,0,-2,3,0,0,16,negative
0.325485,0,0.108495,-1,1,0,1,0,0,0,0,2,negative
0,0,-1,-1,0,0,0,0,0,0,0,4,neutral
0,0,-1,-1,2,0,2,0,0,1,0,13,neutral
0.770127,-0.038265,0.385063,-0.038265,1,0,1,0,1,0,0,7,neutral
0,0,-1,-1,0,0,0,0,0,0,0,11,positive
0,-0.052592,-1,-0.026296,0,0,0,0,0,0,0,7,positive
0.004028,-0.022727,0.004028,-0.022727,0,0,0,0,0,2,0,6,positive
0,0,-1,-1,0,0,0,0,1,0,0,11,neutral
0.136364,0,0.136364,-1,0,0,0,0,1,0,0,10,positive
0.142721,-0.985,0.07136,-0.4925,0,0,0,0,2,0,0,2,neutral
0.417703,0,0.139234,-1,0,0,0,0,0,0,0,3,positive
0,0,-1,-1,0,0,0,0,0,0,0,12,neutral
0.380272,0,0.190136,-1,2,0,2,0,0,0,0,4,positive
0.154385,0,0.077192,-1,0,-2,0,-2,0,0,0,5,negative
0,-0.357143,-1,-0.357143,0,-1,0,-1,0,0,0,5,negative
0.297289,0,0.148644,-1,3,0,1,0,1,1,0,7,positive
0,0,-1,-1,0,0,0,0,1,0,0,14,negative
0.054745,-0.017007,0.054745,-0.017007,2,0,2,0,0,1,0,13,positive
