@relation training_data

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute emotion {positive,neutral,negative}

@data
0.633763,0,0.633763,-1,1,0,1,0,0,0,0,6,positive
0.38144,0,0.127147,-1,0,0,0,0,1,0,0,6,neutral
0,-0.695516,-1,-0.231839,0,0,0,0,0,0,0,5,neutral
0.035042,0,0.035042,-1,0,0,0,0,0,0,0,10,neutral
0.144831,-0.161015,0.144831,-0.080508,2,-3,1,-3,0,0,0,12,positive
0.255,-0.088105,0.255,-0.029368,0,0,0,0,0,0,0,6,neutral
0.012092,0,0.012092,-1,1,-4,1,-2,0,0,0,12,positive
0.090806,-0.761289,0.030269,-0.253763,0,-3,0,-3,0,0,0,5,negative
0.099534,-0.005,0.033178,-0.005,0,0,0,0,0,0,0,6,negative
0.333333,0,0.333333,-1,0,0,0,0,0,0,0,2,neutral
0,-0.142552,-1,-0.142552,0,0,0,0,0,0,0,6,neutral
0.032313,-0.058673,0.032313,-0.029337,0,0,0,0,0,2,0,9,neutral
0.034284,-0.03214,0.017142,-0.03214,0,0,0,0,0,3,0,11,neutral
0.031579,0,0.031579,-1,0,0,0,0,0,0,0,1,neutral
0.10145,-0.688512,0.050725,-0.229504,0,-2,0,-1,0,0,0,8,negative
0,-0.007665,-1,-0.007665,0,0,0,0,0,0,0,11,neutral
0.093221,0,0.031074,-1,0,0,0,0,0,0,0,9,neutral
0.074345,0,0.037172,-1,0,0,0,0,0,0,0,15,neutral
0.062745,-0.4,0.031372,-0.2,0,0,0,0,0,0,0,5,neutral
0.050208,0,0.050208,-1,0,0,0,0,0,0,0,9,neutral
0.109489,0,0.109489,-1,0,0,0,0,0,0,0,3,positive
0.145,-0.039089,0.145,-0.019545,0,0,0,0,1,0,0,10,neutral
0.088163,-0.141667,0.044082,-0.070833,0,0,0,0,0,0,0,3,positive
0,-0.708333,-1,-0.708333,0,-3,0,-1,0,0,0,6,negative
0.14493,0,0.072465,-1,0,0,0,0,0,0,0,10,neutral
0.314513,-0.117216,0.052419,-0.117216,0,-2,0,-2,0,1,0,14,positive
0.689035,-0.069262,0.344517,-0.034631,3,0,1,0,0,0,0,7,positive
0,-0.001974,-1,-0.001974,1,0,1,0,0,0,0,16,neutral
0.125,-0.005,0.125,-0.005,0,0,0,0,1,0,0,13,negative
0.328956,-0.118248,0.082239,-0.059124,0,-2,0,-2,0,0,0,17,positive
0.166667,0,0.166667,-1,0,-1,0,-1,0,0,0,17,neutral
0.125,-0.007147,0.125,-0.007147,0,-3,0,-1,0,0,0,9,negative
0.053064,-0.105416,0.026532,-0.026354,0,0,0,0,0,0,0,8,neutral
0,-0.00219,-1,-0.00219,0,0,0,0,0,0,0,7,neutral
0.117592,-0.317576,0.029398,-0.063515,1,0,1,0,0,3,0,8,neutral
0.296801,0,0.049467,-1,1,-1,1,-1,0,1,0,9,neutral
0.205119,-0.041667,0.205119,-0.041667,1,0,1,0,2,0,0,5,neutral
0,-0.523472,-1,-0.261736,0,-2,0,-2,0,3,0,11,positive
0.838728,-0.048813,0.279576,-0.024407,2,0,2,0,0,0,0,11,positive
0,0,-1,-1,1,0,1,0,0,0,0,14,positive
0.197579,-0.053105,0.06586,-0.026553,1,0,1,0,0,1,0,6,neutral
0.265053,-0.027595,0.088351,-0.027595,0,0,0,0,0,0,0,4,neutral
0,0,-1,-1,0,0,0,0,0,1,0,22,neutral
0.03984,-0.027595,0.01992,-0.027595,0,0,0,0,0,1,0,7,neutral
0.554116,-0.225375,0.277058,-0.112688,2,0,1,0,0,0,0,4,positive
0.025826,-0.020339,0.025826,-0.020339,2,0,1,0,0,0,0,6,positive
0,0,-1,-1,0,0,0,0,0,0,0,10,neutral
0.157193,-0.815058,0.052398,-0.271686,1,-5,1,-1,0,0,0,6,neutral
0.942894,-0.136755,0.134699,-0.045585,1,0,1,0,0,1,0,11,positive
0.259804,-0.426477,0.086601,-0.085295,0,-1,0,-1,0,0,0,16,positive
0.271198,-0.10916,0.090399,-0.05458,1,-1,1,-1,0,1,0,4,positive
0.225408,0,0.075136,-1,2,0,1,0,0,4,0,7,positive
0.03641,-0.814016,0.03641,-0.407008,2,-3,1,-3,1,0,0,12,negative
0.063784,0,0.063784,-1,0,0,0,0,0,0,0,20,neutral
0.164454,-0.851251,0.054818,-0.28375,0,-2,0,-1,0,0,0,6,negative
0.085442,-0.005,0.028481,-0.005,0,0,0,0,0,1,0,5,neutral
0,-0.022727,-1,-0.022727,0,0,0,0,0,1,0,11,positive
0,-0.142552,-1,-0.142552,0,0,0,0,0,1,0,7,neutral
0,0,-1,-1,0,0,0,0,0,2,0,27,neutral
0.527372,-0.027595,0.263686,-0.027595,0,0,0,0,0,0,0,9,positive
0.0271,-0.031934,0.0271,-0.031934,0,-2,0,-2,0,1,0,22,neutral
0.064016,0,0.064016,-1,0,0,0,0,0,0,0,10,neutral
0.020678,0,0.010339,-1,0,0,0,0,0,0,0,13,neutral
0,-0.59672,-1,-0.198907,0,-2,0,-2,0,0,0,6,neutral
0.295806,0,0.098602,-1,1,0,1,0,2,0,0,9,positive
0.458333,-0.670455,0.458333,-0.335227,2,-2,2,-2,0,0,0,8,negative
0.037822,-0.084184,0.018911,-0.084184,0,0,0,0,0,0,0,11,neutral
0,-0.141667,-1,-0.070833,0,0,0,0,0,0,0,16,positive
0.233538,-0.087121,0.058385,-0.043561,0,0,0,0,0,0,0,3,neutral
0.069728,-0.698601,0.069728,-0.232867,0,-2,0,-2,0,2,0,14,positive
0.120919,-0.136364,0.120919,-0.136364,0,0,0,0,0,0,0,3,neutral
0.058429,-0.545455,0.029215,-0.272727,0,0,0,0,0,0,0,6,negative
0.197307,-0.019185,0.098653,-0.019185,0,-3,0,-3,0,0,0,5,negative
0,-0.041667,-1,-0.041667,0,0,0,0,1,1,0,4,neutral
0,-0.007526,-1,-0.007526,0,0,0,0,0,2,0,2,positive
0.039307,0,0.039307,-1,1,0,1,0,0,0,0,11,positive
0.291667,0,0.291667,-1,0,0,0,0,0,0,0,13,neutral
0,0,-1,-1,2,0,2,0,0,0,0,24,neutral
0.226213,-0.022727,0.075404,-0.022727,1,0,1,0,0,0,0,15,neutral
0.217516,0,0.072505,-1,1,0,1,0,1,1,0,12,positive
0.646066,-0.440677,0.161517,-0.110169,2,0,2,0,0,0,0,11,neutral
0.069728,0,0.069728,-1,0,0,0,0,0,0,0,21,positive
0,0,-1,-1,1,0,1,0,0,1,0,12,positive
0.413333,-0.013102,0.206667,-0.013102,0,0,0,0,0,0,0,13,neutral
0.031722,-0.101667,0.031722,-0.050833,0,-1,0,-1,0,1,0,16,positive
0,0,-1,-1,0,0,0,0,0,0,0,7,neutral
0.065183,-0.020408,0.065183,-0.020408,0,-2,0,-1,0,0,0,9,negative
0.087591,-0.076695,0.087591,-0.038347,0,0,0,0,0,0,0,4,neutral
0.039307,-0.041667,0.039307,-0.041667,2,-1,2,-1,0,1,0,33,neutral
0.104953,0,0.052476,-1,0,0,0,0,0,0,0,6,positive
0.991204,-0.284014,0.198241,-0.142007,0,-2,0,-1,0,1,0,50,positive
0.015,-0.058002,0.015,-0.019334,0,0,0,0,0,0,0,13,neutral
0.338541,-0.119319,0.112847,-0.119319,2,0,2,0,0,0,0,9,negative
0.017519,-0.005,0.017519,-0.0025,2,0,1,0,0,3,0,8,positive
1.459146,-0.194039,0.291829,-0.06468,1,0,1,0,0,1,0,3,positive
0.234331,-0.020408,0.058583,-0.020408,1,0,1,0,0,0,0,5,positive
0.376397,-0.238638,0.094099,-0.119319,0,0,0,0,0,4,0,3,neutral
0.271289,-0.670455,0.067822,-0.335227,0,0,0,0,0,0,0,2,negative
0.1798,0,0.059933,-1,0,0,0,0,1,0,0,28,negative
0.121955,0,0.060977,-1,0,-1,0,-1,0,1,0,6,positive
0.234894,-0.074044,0.058724,-0.024681,0,-3,0,-3,0,0,0,4,negative
0.117783,-0.045455,0.058891,-0.045455,0,0,0,0,0,0,0,5,neutral
0.5271,-0.180878,0.26355,-0.090439,1,0,1,0,1,0,0,14,positive
0.101228,-0.052042,0.050614,-0.026021,0,0,0,0,0,0,0,2,neutral
0.109453,0,0.036484,-1,1,0,1,0,0,1,0,2,negative
0.299451,-0.106061,0.149726,-0.05303,1,0,1,0,0,0,0,9,positive
0.019163,-0.041667,0.019163,-0.041667,2,0,2,0,0,1,0,12,positive
0.066364,0,0.033182,-1,0,0,0,0,1,0,0,25,positive
0.136503,0,0.045501,-1,0,0,0,0,0,0,0,3,neutral
0.293023,-0.943333,0.073256,-0.314444,1,-2,1,-1,0,0,0,5,positive
0.102682,-0.666667,0.034227,-0.333333,0,0,0,0,0,0,0,2,neutral
0,-0.656704,-1,-0.328352,0,-1,0,-1,0,0,0,9,negative
0.797723,-0.629156,0.265908,-0.629156,2,-1,1,-1,0,0,0,16,positive
0.020678,0,0.010339,-1,0,0,0,0,0,0,0,11,neutral
0,0,-1,-1,0,0,0,0,0,2,0,55,neutral
0.390208,-0.048074,0.078042,-0.024037,1,0,1,0,0,1,0,4,positive
0.233716,-0.054867,0.077905,-0.027433,0,0,0,0,0,3,0,2,positive
0.037935,-0.016459,0.037935,-0.00823,0,-2,0,-1,1,0,0,10,neutral
0.100923,-0.119319,0.025231,-0.119319,0,0,0,0,0,0,0,10,negative
0.140552,-0.021898,0.070276,-0.021898,0,0,0,0,0,0,0,10,neutral
0.455219,0,0.065031,-1,0,0,0,0,0,0,0,8,positive
0.063703,-0.073601,0.031851,-0.0368,3,-2,1,-2,0,0,0,14,positive
0.003685,0,0.003685,-1,0,-1,0,-1,0,0,0,6,neutral
0.017519,0,0.017519,-1,0,0,0,0,0,0,0,12,neutral
0.30697,-0.160986,0.076743,-0.080493,0,0,0,0,0,0,0,7,positive
0.660864,0,0.330432,-1,1,0,1,0,0,1,0,8,positive
0,0,-1,-1,0,0,0,0,0,0,0,14,positive
0.090909,-0.049193,0.090909,-0.024596,0,0,0,0,0,0,0,2,positive
0.003685,0,0.003685,-1,0,0,0,0,0,1,0,4,positive
0.201844,0,0.067281,-1,0,0,0,0,0,0,0,7,positive
0.323637,0,0.107879,-1,0,0,0,0,1,2,0,18,positive
0.092586,-0.03214,0.092586,-0.03214,1,0,1,0,0,1,0,12,positive
0.58778,0,0.146945,-1,0,-1,0,-1,0,1,0,18,neutral
0.050462,-0.051325,0.050462,-0.025662,0,0,0,0,2,0,0,11,neutral
0.060268,-0.973485,0.030134,-0.324495,0,-7,0,-2,0,3,0,4,negative
0.022969,0,0.011484,-1,0,-1,0,-1,0,0,0,10,positive
0.375,0,0.375,-1,0,0,0,0,0,0,0,4,positive
0.118644,-0.029328,0.059322,-0.014664,1,0,1,0,0,2,0,15,negative
0.789307,-0.307042,0.394653,-0.076761,1,0,1,0,0,0,0,0,positive
0.057886,-0.315,0.019295,-0.1575,0,0,0,0,0,1,0,7,positive
0.209869,-0.019185,0.052467,-0.019185,0,0,0,0,0,0,0,7,neutral
0.142562,0,0.142562,-1,0,0,0,0,0,3,0,31,positive
0.281387,-0.005,0.070347,-0.005,0,0,0,0,0,0,0,7,positive
0,0,-1,-1,0,0,0,0,0,0,0,24,neutral
0.061063,-0.041667,0.061063,-0.041667,0,0,0,0,0,0,0,2,positive
0.9721,-0.119319,0.324033,-0.119319,0,0,0,0,0,0,0,7,positive
0.031722,-0.065714,0.031722,-0.032857,0,-2,0,-1,0,0,0,10,negative
0.133541,-0.156849,0.066771,-0.052283,0,-1,0,-1,0,0,0,9,neutral
0,0,-1,-1,0,0,0,0,0,0,0,12,neutral
0.147944,-0.272727,0.036986,-0.272727,0,0,0,0,0,0,0,7,negative
0.463808,0,0.231904,-1,1,0,1,0,0,0,0,3,neutral
0.831283,0,0.166257,-1,1,0,1,0,0,0,0,1,negative
0,-0.017247,-1,-0.017247,0,-3,0,-3,0,1,0,18,neutral
0,-0.041667,-1,-0.041667,0,0,0,0,0,2,0,7,positive
0.121269,0,0.060634,-1,0,-1,0,-1,0,0,0,3,neutral
0.12145,-0.041667,0.040483,-0.041667,0,-2,0,-2,0,0,0,8,neutral
0,-0.001956,-1,-0.001956,0,0,0,0,0,0,0,19,neutral
0.15146,-0.06464,0.15146,-0.03232,2,0,2,0,1,1,0,21,neutral
0.518493,-0,0.103699,-0,1,0,1,0,0,0,0,4,neutral
0.213848,0,0.035641,-1,0,0,0,0,0,1,0,9,neutral
0.238443,-0.068431,0.059611,-0.068431,1,-1,1,-1,0,0,0,3,negative
0.019284,0,0.019284,-1,0,-2,0,-1,0,0,0,14,neutral
0.571813,-0.041667,0.190604,-0.041667,0,0,0,0,1,0,0,8,neutral
0,0,-1,-1,0,0,0,0,0,0,0,1,positive
0,-0.598236,-1,-0.299118,0,-1,0,-1,1,1,1,3,negative
0.343643,-1.151667,0.068729,-0.287917,1,-3,1,-1,1,0,0,4,negative
0.041582,0,0.020791,-1,0,0,0,0,0,0,0,4,neutral
0,-0.027595,-1,-0.027595,0,0,0,0,0,0,0,7,positive
0.120919,0,0.120919,-1,0,0,0,0,0,0,0,25,neutral
0,0,-1,-1,0,-3,0,-3,0,0,0,20,neutral
0.363705,-0.561102,0.181852,-0.140276,0,-1,0,-1,0,0,0,10,neutral
0.066035,0,0.033018,-1,0,0,0,0,1,0,0,16,neutral
0.925581,-0.351344,0.308527,-0.117115,0,-1,0,-1,0,0,0,3,neutral
0.047442,-0.109489,0.047442,-0.109489,0,-1,0,-1,0,0,0,12,negative
0.129866,-0.752737,0.064933,-0.376369,1,0,1,0,0,0,0,6,negative
0.03641,-0.013797,0.03641,-0.013797,0,0,0,0,0,3,0,12,positive
0.21718,-0.027595,0.072393,-0.027595,0,-1,0,-1,0,6,0,11,positive
0.054745,0,0.054745,-1,1,0,1,0,0,1,0,7,positive
0,-0.007526,-1,-0.007526,0,-1,0,-1,0,0,0,6,neutral
0.547273,0,0.109455,-1,0,0,0,0,0,0,0,6,neutral
0.379059,-0.118504,0.126353,-0.059252,0,0,0,0,2,0,0,7,neutral
0.272791,-0.066176,0.068198,-0.066176,0,0,0,0,0,0,0,8,neutral
0,-0.1,-1,-0.1,2,-1,1,-1,0,0,0,11,positive
0.636988,-0.133981,0.159247,-0.066991,0,0,0,0,0,1,0,2,neutral
0.625,-0.083333,0.3125,-0.083333,2,0,2,0,0,2,0,2,positive
0,0,-1,-1,0,0,0,0,0,0,0,3,neutral
0.139167,-0.142046,0.069583,-0.071023,0,0,0,0,0,0,0,3,neutral
0.055079,0,0.055079,-1,0,-1,0,-1,0,0,0,10,negative
