@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'has_VBZ pledged_VBN repeal_VB two-tier_JJ ,_,','',positive
'knocked_VBD with_IN venerable_JJ aft_JJ in_IN ,_,','',positive
'canvassing_VBG for_IN','',positive
'\"_\'\' think_VBP for_IN \"_\'\' -_: commit_VBZ vote_VB :_:','',positive
'past_JJ and_CC of_IN -_:','',positive
'watch_VB rock_VB in_IN at_IN','',positive
'ca_MD not_RB wait_VB vote_VB for_IN and_CC on_IN go_VB','',positive
'for_IN is_VBZ for_IN ,_, mulcair\'s_VBZ financial_JJ','',positive
'of_IN and_CC destined_VBN for_IN','',positive
'who_WP is_VBZ who_WP and_CC does_VBZ what_WP in_IN conservative_JJ','',negative
'…_UH –_: led_VBD by_IN –_: plays_VBZ by_IN different_JJ of_IN','',negative
voting_VBG,'',neutral
'great_JJ with_IN riding_VBG &_CC sharing_VBG for_IN','',neutral
'good_JJ for_IN can_MD explain_VBP','',neutral
'speaks_VBZ at_IN hosted_VBD by_IN in_IN ,_,','',positive
'urging_VBG run_VB for_IN :_:','',positive
'on_IN introduces_VBZ next_JJ','',positive
'in_IN matters_VBZ','',neutral
'live_VB in_IN riding_VBG recommend_VBP looking_VBG into_IN','',positive
'and_CC \"_\'\' other_JJ \"_\'\' is_VBZ just_RB not_RB ready_JJ','',neutral
'in_IN shares_VBZ of_IN when_WRB speaks_VBZ','',positive
'','',neutral
'had_VBD great_JJ with_IN','',positive
'among_IN most_JJS vulnerable_JJ large_JJ quick_RB ,_, rearrange_VB','',negative
'\"_\'\' \"_\'\' next_JJ gives_VBZ on_IN \"_\'\' and_CC \"_\'\'','',negative
'is_VBZ oh_UH ,_, great_JJ remind_VB that_IN is_VBZ good_JJ go_VB','',positive
':_: who_WP in_IN right_RB hires_VBZ disbarred_JJ','',negative
'wonderful_JJ at_IN who_WP want_VBP thx_UH for_IN','',positive
'too_RB good_JJ not_RB share_VB ,_, ,_, ,_, ,_, &_CC now_RB for_IN political_JJ ..._:','',neutral
',_, going_VBG up_RP -_: massive_JJ for_IN in_IN','',positive
'of_IN here_RB in_IN :_: &_CC','',neutral
'seems_VBZ that_IN about_IN not_RB supporting_VBG is_VBZ shared_VBN','',negative
',_, when_WRB asked_VBD about_IN deleted_VBD','',negative
'so_UH what_WP happened_VBN in_IN','',negative
'donate_VB ,_, progressive_JJ -_: :_: …_:','',positive
'/_: is_VBZ solar_JJ ;_: ,_, volunteering_VBG 4_IN','',positive
'amazing_JJ introduces_VBZ so_RB cool_JJ that_IN also_RB have_VB','',positive
':_: only_RB for_IN :_: &_CC trust_VBP','',positive
'will_MD vote_VB because_IN must_MD preserve_VB','',positive
'need_VBP in_IN can_MD be_VB of_IN first_JJ :_: -_:','',positive
'growing_VBG requires_VBZ strong_JJ of_IN of_IN is_VBZ incredible_JJ &_CC unmatched_JJ','',positive
'powerful_JJ new_JJ by_IN looking_VBG for_IN air_VB on_IN …_:','',neutral
'matters_VBZ :_: must_MD be_VB honoured_VBN –_: progressive_JJ','',positive
on_IN,'',positive
'first_JJ economic_JJ if_IN were_VBD ,_, call_VB for_IN first_JJ meeting_VBG on_IN','',positive
'-_: for_IN bringing_VBG','',positive
'of_IN frum\'s_VBZ :_:','',neutral
'with_IN for_IN delicious_JJ','',positive
'who_WP led_VBD defending_VBG &_CC spoke_VBD out_RP when_WRB other_JJ would_MD','',positive
'calls_VBZ on_IN for_IN does_VBZ not_RB read_VB whole_JJ','',negative
'will_MD vote_VB in_IN because_IN wants_VBZ back_RB','',positive
'live_VBP by_IN ,_, die_VBP by_IN','',negative
',_, for_IN exciting_JJ','',neutral
'destroys_VBZ flimsy_JJ at_IN &_CC but_CC strong_JJ remains_VBZ','',positive
'want_VBP ask_VB','',positive
'much_RB do_VBP do_VB about_IN :_:','',negative
'announcing_VBG for_IN improving_VBG','',neutral
'&_CC ..._: :_: will_MD or_CC will_MD not_RB','',negative
'cut_VB from_IN of_IN in_IN','',positive
'yes_UH ,_, yes_UH there_EX is_VBZ for_IN','',positive
'why_WRB is_VBZ on_IN did_VBD not_RB request_VB','',negative
official_JJ,'',neutral
'rolled_VBD into_IN','',neutral
'did_VBD not_RB follow_VB last_JJ check_VB out_RP for_IN need_VBP know_VB','',positive
'will_MD vote_VB in_IN because_IN wants_VBZ back_RB','',positive
'on_IN ,_, ran_VBD -_: does_VBZ','',positive
'@_IN not_RB attending_VBG &_CC','',positive
meet_VB,'',positive
'met_VBD after_IN hearing_VBG announce_VB faster_JJR professional_JJ new_JJ','',positive
'brilliant_JJ ,_,','',neutral
'is_VBZ hyped_JJ for_IN in_IN','',positive
'here\'s_RB trying_VBG convince_VB is_VBZ not_RB ..._:','',positive
'c’mon_UH ,_, wake_VB up_RP of_IN and_CC come_VB play_VB on_IN west_JJ of_IN','',positive
'talking_VBG ,_, and_CC could_MD not_RB be_VB happier_JJR proud_JJ of_IN and_CC','',positive
'&_CC using_VBG of_IN as_IN political_JJ :_:','',negative
