@relation training_data

@attribute text string
@attribute emojis string
@attribute emotion {positive,neutral,negative}

@data
'justin trudeau has pledged to repeal harper’s two-tier citizenship law , bill c-24 . #cdnpoli #elxn42 #canadavotes','',positive
'knocked doors with the venerable #teamtrudeau #lpc candidate this aft in my hometown , aurora ! #elxn42','',positive
'canvassing for #yegfed #elxn42','',positive
'\" i think it\'s time for change \" - ana commit to vote : #generationtrudeau #sfu #lpc #elxn42','',positive
'the past and future of the refugee crisis - thomas sowell #elxn42 #polqc','',positive
'rdy to watch rock it tnight in the debate at café #ndp #cdnpoli #elxn42','',positive
'can not wait to vote for and on october 19 . #cdnpoli #elxn42 #realchange go','',positive
'vote for ndp is vote for another harper . #elxn42 andrew thomson , mulcair\'s financial adviser','',positive
'the end of the road and destined for the scrap heap #harperbus #canada #cdnpoli #elxn42','',positive
'? ? who is who and does what in the #elxn42 conservative war room ? #cpc #cdnpoli #canpoli','',negative
'… this particular government – led by this particular pm – plays by a different set of rules . #cdnpoli #elxn42','',negative
'this year i\'m voting alliance . #elxn42','',neutral
'great am with riding neighbors & sharing our #lpc plan for #realchange ! #dvw #elxn42','',neutral
'another good question for can you explain this to canadians ? #elxn42 #polqc #fed2015','',neutral
'laureen harper speaks at gathering hosted by mp rona ambrose this morning in stony plain , alta . #elxn42','',positive
'ford fans launch website urging doug to run for harper’s job : #cdnpoli #elxn42 #cpc','',positive
'#ndpmajority on the way ! #elxn42 introduces our next pm ! #stopharper #heavesteve','',positive
'the ballot question in 2015 ? integrity matters . #cdnpoli #elxn42 #elxn2015','',neutral
'live in #winnipeg south centre riding ? i recommend looking into #elxn2015','',positive
'and the \" other \" guy is just not ready ? 1-man-show ? #elxn2015 #elxn42 #cdnpoli #nicetoupeethough #harperman #peegate','',neutral
'this girl in the background shares my feelings of mr. harper when he speaks . #elxn42 #yawn','',positive
'throwback thursday #cdnpoli #elxn42 #syria #alankurdi #chrisalexander','',neutral
'had another great time with #renaissancefestival','',positive
'canada among most vulnerable large economies . quick , rearrange deckchairs . #cdnpoli #elxn42','',negative
'jason kenny redefines \" deficit \" next gives opinion on \" unicorns and leprechauns \" #cdnpoli #elxn42','',negative
'today is #internationaldayofdemocracy ? oh , great day to remind that he is good to go ! #elxn42 #cdnpoli','',positive
'#cdnpoli : who in their right mind hires a disbarred lawyer ? #elxn42 #cpc','',negative
'wonderful morning at mon sheong meeting seniors who want #realchange . thx martin for the tour ! #lpc #aorrh #elxn42','',positive
'too good not to share ! brodie , giorno , wright , novack , & now for your political meme pleasure ... #elxn42 #cdnpoli','',neutral
'another day , another sign going up - massive support for in mississauga centre ! #elxn42 #misspoli','',positive
'some of the #lpc candidates here in #edmonton : & ! #elxn42','',neutral
'seems that your assessment about #veterans not supporting #harper is shared #elxn42','',negative
'cpc candidate gabriel purcarus , when i asked him about his deleted fb page . #elxn42 #cdnpoli','',negative
'so what happened in 2007 ?','',negative
'reasons to donate pc party , progressive canadian party - today : veteran\'s affairs … #elxn42','',positive
'#teamjustin / is solar ; 2day , volunteering 4 omar/ . #mississauga #realchange #lpc #elxn42','',positive
'amazing introduces . so cool that both also have women campaign managers ! #cdnpoli #elxn42','',positive
'jack welch : only 2 words matter for leaders : truth & trust #elxn42','',positive
'larry koopman will vote 2015 because we must preserve our democracy ! #iwillvote2015 #bcrc15 #elxn42 #cdnpoli','',positive
'we need 2400 users in #metrovancouver . you can be one of the first : - #elxn42 #yvr #cdnpoli','',positive
'growing the economy requires a strong team . the depth of experience of the #lpc is incredible & unmatched . #elxn42','',positive
'powerful new attack ad by looking for funding to air on tv … #elxn42 #cdnpoli','',neutral
'integrity matters : social contract w canada must be honoured – progressive canadians #elxn42','',positive
'pcparty hon sinclair stevens former progressive conservative pm joe clark on refugees #elxn42','',positive
'trudeau\'s first economic move if he were pm , call for a first ministers meeting on climate change . #cdnpoli #elxn42','',positive
'prosperity canada - pc party seven pillars for bringing prosperity to canada #elxn42','',positive
'the delusions of david frum\'s mind — canada\'s prodigal republican son : #cdnpoli #elxn42 #cpc','',neutral
'post rally ice cream stop with the #parkhp team ! thanks for the delicious ice cream ! #tm4pm #elxn42','',positive
'who led defending canadians rights & freedoms ? spoke out when no other pol would #cdnpoli #elxn42 #c51','',positive
'harper calls on vets for support staff does not read the whole email #cdnpoli #elxn42','',negative
'katha fortier will vote in 2015 because she wants our canada back ! #uniforcc #elxn42 #iwillvote2015','',positive
'you live by the surveillance state , you die by the surveillance state #peegate #elxn42','',negative
'laura weston , ndp candidate for midnapore calgary exciting ! ! #elxn2015 #indigenous #vote #yyc #ndp','',neutral
'wind destroys flimsy #elxn42 signs at 78th & king george but one strong one remains ! #surreybc','',positive
'want to ask an #elxn42 candidate a question ? #yvr #metrovancouver','',positive
'much lpc ndp do do about nothin : ) #elxn42 #polqc','',negative
'announcing plan for improving canada\'s health care- #tm4pm #elxn42','',neutral
'gun registry & ... another : will he or wo not he ? #cdnpoli #polqc #elxn42 #fed2015','',negative
'harper policies cut manufacturing from 18\% of cda\'s economy in 2000 to 10\% #cdnpoli #elxn42','',positive
'yes , yes there is ! #winnipeg for #tm4pm #elxn42','',positive
'. why is your sign on my lawn ? we did not request this . #elxn42 #yyc','',negative
'#harperscoutbadges official email intern #stopharper #heavesteve #cdnpoli #elxn42','',neutral
'orange wave rolled into vancouver today . #yvr #elxn42 #cdnpoli #ndp #ndp2015','',neutral
'did not follow #elxn42 last week ? check out our hatley report for everything you need to know','',positive
'he will vote in 2015 because he wants his canada back ! #iwillvote2015 #cdnpoli #elxn42 #bcrc15','',positive
'. on 6/21 , i ran the 47km #cloverdale - #langley city riding boundary ? ? does that count ? #votehealthy #elxn42','',positive
'hints @ apology . not attending debate & #conblocks electors . #cdnpoli #elxn42 #chickenparm','',positive
